ibo_000000|Nwoke Na- agba Boolu
ibo_000736|Muhammadu Buhari bụ onyeisiala kacha kaa nka chịrị Naịjirịa.
ibo_000737|Awhum dị na Steeti Enugu. Ọ bụ ebe ndị mmadụ na-aga maka ekpere.
ibo_000738|Abuja bụ isi obodo Naijiria. Ndị bi n'Abuja erughị ka ndị bi na Legọsi
ibo_000739|Nna m kọrọ ọka n'ugbo anyị oge mmiri zoro.
ibo_000740|Mahadum Veritas bụ Mahadum ndị otu ụka Katọlik.
ibo_000741|Chukwuma Soludo bụ onyeisi ọchịchị otu obodo na ala anyị.
ibo_000742|Bola Ahmed Tinubu bụbu gọvanọ Legọs steeti.
ibo_000743|Aso Rock dị n'Abuja. Ọ bụ ebe ndị mmadụ na-aga maka ileghari anya.
ibo_000744|Ọ bụghị mmadụ niile ma esi ọkpa na Ụkwa .
ibo_000745|Kedụ aha nri abụọ eji mara ndị Igbo? Ji na ede
ibo_000746|Akidi bụ otu nri na-enye ọbara n'ahụ.
ibo_000747|A na-enwe ezumike ụbọchị ndị gọọmenti wepụtara maka ụmụaka.
ibo_000748|Ndị Igbo niile ma maka emume iri ji ọhụụ.
ibo_000749|Onye isi ala Umaru Musa Yar'adua nwụrụ na 5th Mee, afọ 2010.
ibo_000750|Kedu obodo kacha okpomọkụ na West Africa? Republic Naijia (Niger Republic)
ibo_000751|Otu n'ime ndị otu egwuregwu bọọlụ na-agba nke ọma bụ ndị Cameron.
ibo_000752|Ụkọchukwu bụ onye etere ude nsọ n'ụlọ ụka Katọlik maka ikara ndị mmadụ ụka.
ibo_000753|Nne na nna m riri ji na agwa n'abalị tata.
ibo_000754|Ndị ọcha amaghị ihe a na-akpọ achịcha. Achịcha na-agụ m agụụ.
ibo_000755|Ụlọ ruru otu narị n'akụkụ ebe m bi mana ụlọ nke narị bụ nke m.
ibo_000756|Onye bu onye ndu ochichi onye kwuo uche ya nke mbu na Naijiria? Olusegun Obasanjo
ibo_000757|Ọrịa nje COVID-19 bụ ọrịa ozurumba ọnụ. Ọrịa a bidoro n'obodo China.
ibo_000758|Anyị zụtara akpụ na Ofe ọha anyị ga-eri echi tupu anyị agbawa bọọlụ.
ibo_000759|Lagos bụ steeti dị n'akụkụ ọdịda anyanwụ mba Naijiria, n'akụkụ oke osimiri Atlantic.
ibo_000760|Nnanna bu abacha na àgwà bịa n'ụlọ akwụkwọ ụbọchị Fraịde.
ibo_000761|Onye webatara Ekwentị 'Global System for Mobile Communications na Nigeria'? Olusegun Obasanjo
ibo_000763|Kedụ obodo kacha nwee urenium? Republic Naijia (Niger Republic)
ibo_000764|A na-ewere Naijia (Niger) dị ka otu n'ime obodo kacha nwee okpomọkụ na West Africa.
ibo_000765|A na-akọputa ji na ede na Naijiria? . Ee, a na-akọputa nri ji na ede n'obodo Naijiria
ibo_000802|Site na Sky Mall rute Ajah di ka ruo kilomita ato na okara.
ibo_000803|Nri ukwa na-edozi ahu
ibo_000804|ọ bu n'onwa nke itolu n'afo ka amuru m.
ibo_000805|Oke-Idanre Hill no na Ondo Steeti.
ibo_000806|Eji egwu Makosaa wee mara Caneroon
ibo_000807|Awhum-Waterfalls no n'Enugu Steeti
ibo_000808|Mmadụ bi n'ụwa nke atọ
ibo_000809|Abacha bu nri a na-esite na akpu enweta.
ibo_000810|Port Harcourt Tourist Beach no na Rivers Steeti.
ibo_000811|Site n'Ajah ruo Chevron, dika kilomita ano.
ibo_000812|Site na Lekki phase 1 rute Farm City di ka kilomita ano.
ibo_000813|Tinapa Free Zone And Resort no na Cross River Steeti.
ibo_000814|Surame Cultural Landscape no na Sokoto Steeti.
ibo_000815|Osun-Osogbo Grove no na Osun Steeti.
ibo_000816|Chioma gbara onye nke ato n'ime mmadu ato ahu gbara oso.
ibo_000817|Ato n'ime 8 amubara uzo asato putara ato.
ibo_000818|Eji ikoputa otutu ihe ubi mara Chad.
ibo_000819|Site na GRA Abijo rute Sky Mall Sangotedo, di ka kikomita ise na okara.
ibo_000820|Arochukwu Long Juju Slave Route no n'Abia Steeti.
ibo_000821|Ndi Akwa Ibom na-esikwa ofe editan.
ibo_000822|Eji akwukwo olugbu esi ofe olugbu.
ibo_000823|Nwa ya nwaanyi nke  mbu bu onye agoziri agozi
ibo_000824|Otutu obara ka-akwafuru n'oge ochichi Muhammad Buhari.
ibo_000825|Ugboala nke ato ahu no n'ihu ulo bu nke m.
ibo_000826|Otu nde amubara uzo otu n'ime ise putara puku nari abuo.
ibo_000827|Ewo Riro bu nri ndi Yoruba nke ana-eji agwa emeputa.
ibo_000828|Ochichi Umaru Musa Yar'Adua dika onyeisiala nke iri na ato amaka.
ibo_000829|Site na Ajah rute Oshodi Lagos, di ka kilomita iri na abuo.
ibo_000830|Onyeisiala GoodLuck Jonathan bu nnoo onye udo.
ibo_000831|Site na Magodo Lagos ruo Maryland dikwa na Lagos di ka kilomita ise.
ibo_000832|Ofe uha bu otu ofe eji maara ndi Igbo.
ibo_000833|Chimamanda Adichie bu nwaanyi Igbo nwere ezigbo aka nka ide agumagu ederede.
ibo_000834|Okpa bu nri ana-eji agwa puru iche emeputa.
ibo_000835|Abia n'ihe gbasara egwuregwu boolu ukwu, Kanu Nwankwo bu oka ibe.
ibo_000887|nwa-nwoke nke-abuo di mkpụmkpụ
ibo_000888|iko kọfị anọ n'ahịrị, otu n'azụ nke ọzọ
ibo_000889|iri isii abụọ kewara hà nhata iri atọ
ibo_000890|iri na otu gbakwunyere atọ ha nhata iri na anọ
ibo_000891|osimiri Naịl bụ osimiri kacha ogologo na Afrịka.
ibo_000892|otu gbakwunyere abụọ bu atọ
ibo_000893|asatọ ugboro itoolu hà nhata iri asaa na abụọ
ibo_000894|anọ ugboro ise hà nhata iri abụọ
ibo_000895|Otu ọkara narị bụ iri ise
ibo_000896|iri na abụọ ugboro anọ ha nhata iri anọ na asatọ
ibo_000897|Akwa Ibom bụ steeti kacha na-emepụta mmanụ na gaasi na na Naịjirịa
ibo_000898|ugwu Kilimanjaro bụ ugwu kacha ogologo n'Africa
ibo_000899|asatọ ugboro asatọ hà nhata iri ise na isii
ibo_000900|Gịnị bụ isi obodo Cameroon? Isi obodo Cameroon bụ Yaoundé.
ibo_000901|otu ụzọ n'ụzọ anọ nke iri abụọ bụ ise
ibo_000902|nwanne m emerighị n'ọsọ ahụ mana o putara onye nke abụọ
ibo_000904|Naijiria ji ọkpụ goolu atọ merie na mgbakọ na mwepụ
ibo_000909|Nwannem nke-ntà gb‌ara afọ iri, ọ bu kwa nwa nke-iri nke nne m na nnam
ibo_000965|Abuja bụ isiala obodo Naijiria.
ibo_000966|Akpụ bụ nri na-enye ike
ibo_000967|Akamụ na-adịkarị mma maka ụmụaka na-eto eto.
ibo_000968|Onye butere oche anụ anụ a n'ebe a?
ibo_000969|Ghana bụ obere mba haziri onwe ha nke ọma.
ibo_000970|Olusegun Obasanjo bụ onyeisi ala gụrụ akwụkwọ nke ukwuu.
ibo_000971|Ọ bụ ụbọchị Wednesde ka ị sịrị na ị ga-abịa?
ibo_000972|Ọ bụ iwu na nwata akwụkwọ ọbụla ga-aga akwụkwọ ụbọchị Mọnde?
ibo_000973|Ọ bụ akpụ kpọrọ nkụ ka eji eme alịbọ.
ibo_000974|Fịọfiọ na-agukari mmiri ma e richa ya.
ibo_000975|Ọtụtụ mmadụ si na mba Chad na-abịa azụ ahịa n'ala anyị.
ibo_000976|Dozie Nwankwo bụ ezigbo mmadụ.
ibo_000977|Aga-enwe mmiri ozuzo n'ụbọchị Tuzdee.
ibo_000978|Ebe osimiri Naịja dị bụ n'Onicha na steeti Anambra nke Naijiria.
ibo_000979|Satọde bụ ụbọchị ndị ọrụ oyibo ji ezu ike.
ibo_000980|Ebere Okaro bụ onye Steeti Anambra na-eme ihe nkiri.
ibo_000982|Lagos bụ obodo ihe gbasara azụmahịa kacha aga nke ọma.
ibo_000983|Benin Republic na-agbalị n'ihe gbasara ọchịchị obodo ha.
ibo_000984|Gịnị mere i ji zụta uwe na-acha mme mme?
ibo_000985|Ọ bụ eziokwu na nne gị na-acha ọcha?
ibo_000989|Ọnwa Febrụwarị gbara naanị mkpụrụ ụbọchị iri abụọ na asatọ.
ibo_001049|Wenezde bụ etiti izu ụkaá.
ibo_001050|Kedu ihe ị na-eme Satọde a?
ibo_001051|I gatula mbu n'ikpere mmiri na Julaị?
ibo_001052|"Biko denye kalenda gị maka nzukọ na Mọnde."""
ibo_001053|Ka anyị zute na Tuzdee ka anyị kparịta ọrụ ahụ.
ibo_001054|Eluigwe di ọmarịcha ndò na-acha anụnụ anụnụ taa.
ibo_001055|Goodluck Jonathan, onye bụbu onyeisiala Naijiria, lekwasịrị anya n'ịkwalite agụmakwụkwọ n'oge ọchịchị ya.
ibo_001056|Biko yie ihe na-acha uhie uhie maka oriri na Satọde.
ibo_001134|Obinna bụ nwa nke mbụ n'ezinụlọ ha.
ibo_001135|Ọ bụ nọọsụ nke ise gbara m ọgwụ.
ibo_001136|Iri mụbara iri pụtara otu narị
ibo_001137|Kanu Nwankwo bụ onye ọgba bọọlụ.
ibo_001138|Obodo Naijiria na obodo Niger nwere oké ala
ibo_001139|Otu n'ime ụzọ anọ mụbara iri abụọ pụtara ise
ibo_001140|Iri na abụọ mụbara anọ pụtara iri anọ na asatọ
ibo_001141|Anọ mụbara ise pụtara iri abụọ
ibo_001142|Oke osimiri Benue na Niger bịakotara ọnụ na Lokoja.
ibo_001143|Asaa mụbara asatọ mụtara iri ise na isii
ibo_001144|Ugwu ahụ bụ ugwu nke asaa anyị gafere taa
ibo_001145|Ọkara otu narị pụtara iri ise
ibo_001146|Asatọ mụbara itoolu pụtara iri asaa na abụọ.
ibo_001147|Eji ụgbọala esi n'obodo Naijiria ruo Ghana.
ibo_001148|Isii a gbakwunyere asaa pụtara iri na atọ.
ibo_001149|Port Harcourt nọ na ndị anyanwụ n'obodo Naijiria.
ibo_001150|Iri na otu a gbakọnyere atọ pụtara iri naanọ
ibo_001151|Na mgbede echi okpomọkụ ga-adị ogo selsịọsụ iri anọ
ibo_001152|Enwere ọtụtụ ebe nlere anya na ụlọ oriri na nkwari na Wuse, Abuja.
ibo_001153|Otu n'ime ụzọ iri mụbara otu nde pụtara otu puku narị
ibo_001154|A ga-enwe oké anwụ na nnukwu okpomọkụ ga-eru ogo selsịọsụ iri itoolu taa.
ibo_001155|Nna gara ịkọ azụ n'oké osimiri nke atọ ahụ.
ibo_001156|Chad Republic nwere otu nnukwu osimiri a na-akpọ 'Lake Chad'
ibo_001157|Atọ n'ime ụzọ anọ mụbara otu narị na iri abụọ pụtara iri itoolu
ibo_001158|A na-asu asụsụ French na Cameroon.
ibo_001159|Nsukka bụ ebe enwere oké mahadum akpọrọ Mahadum Naijiria Nsukka.
ibo_001160|Goodluck Ebere Jonathan si na Ndịda anyanwụ Naijiria.
ibo_001161|Ada gbara onye nke isii na klasi ya.
ibo_001162|Ndị Igbo bụ agbụrụ nke abụọ n'elu ụwa.
ibo_001163|Togo, Cameroon, Chad Republic, Ghana, Niger na Kongo.
ibo_001164|Otu a gbakọnyere abụọ pụtara atọ
ibo_001165|Kanu bụ onye gbara goolu nke iri n'elekere nke itoolu.
ibo_001166|Abụọ n'ime ụzọ anọ mụbara iri asatọ pụtara iri atọ na abụọ
ibo_001167|Steeti Jos dị na mgbago ugwu na Naijiria. A na-akọputa ọtụtụ mkpụrụ osisi ebe ahụ.
ibo_001168|Iri na otu mụbara otu narị na iri pụtara otu puku, narị abụọ na iri
ibo_001169|Mahadum mbụ nke Naijiria bụ na Ibadan n'afọ 1948.
ibo_001170|Nne zụtara otu oche, oche a bụ oche nke mbụ m ji nọdụ ala.
ibo_001171|Steeti Delta dị mma maka mmepụta ejije na ihe nkiri.
ibo_001172|Bola Ahmad Tinubu bụ onyeisi ala Naịjiria ugbu.
ibo_001173|Atọ n'ime ụzọ asatọ mụbara asatọ pụtara atọ
ibo_001174|Ọtụtụ ndị azụmahịa na-esi Togo ebubata ngwa ahịa ha.
ibo_001175|Ọkara a gbakọnyere otu n'ime ụzọ isii pụtara abụọ n'ime ụzọ atọ
ibo_001176|A ga-enwe oké ikuku ga-ebido n'ebe ọwụwa anyanwụ na kilomita iri abụọ n'otu awa.
ibo_001177|1. Kedụ obodo Lome bụ isi obodo ya? Lome bụ isi obodo Togo
ibo_001178|Oke nkume Zuma nọ n'ụzọ na-aga Suleja.
ibo_001179|Otu nde mụbara otu n'ime ụzọ ise pụtara puku narị abụọ
ibo_001180|Aneho beach na Lome Beach nọ ebee? Togo
ibo_001181|Okpomọkụ dị elu ga-adị ogo selsịọsụ iri asaa ma agaghị enwe ohere mmiri ozuzo
ibo_001182|Oke ifufe na nnukwu urukpuru ga-eme ka ndị mmadụ ghara ịhapụ ụlọ ha taa
ibo_001183|Mgbada bụ anụmanụ nke atọ kacha agba ọsọ
ibo_001184|Otu n'ime ụzọ ise mụbara iri abụọ a gbakọnyere iri atọ gbakọnyere iri anọ pụtara iri na asatọ.
ibo_001185|Anyị nwere efere iri n'ụlọ nna ma ọ na-amasị m iji efere nke iri rie nri kwa ụbọchị
ibo_001186|Mmiri ga-ezo bido n'ụtụtụ ruo n'abalị taa, okpomọkụ ga-adị naanị ogo selsịọsụ iri abụọ.
ibo_001187|Kedụ obodo okpukpere chi ha bụ voodoo Togo
ibo_001188|Nkem Akuyili bụbu onye isi NAFDAC, otu na-ahụ maka nchekwa nri na ọgwụ na Naijiria.
ibo_001190|Chimamanda Adịche edela ọtụtụ akwụkwọ. Otu n'ime ya bụ Purple Hibiscus. .
ibo_001191|Akụ ndị a hụrụ na FCT Abuja gụnyere bu marble, tin, ụrọ, mica, na tantalite.[
ibo_001219|Iri mụbaa iri bụ otu narị.
ibo_001220|Abụ m nwa nke atọ n'ezinụlọ m.
ibo_001221|Ugwu nke mbụ kacha ugwu ndị ọzọ dị elu.
ibo_001222|Otu n'ime abụọ mụbaa otu narị bụ iri ise.
ibo_001223|Atọ n'ime asatọ mụbara asatọ bụ atọ.
ibo_001224|A mụrụ m ka ọnwa nke asaa dị na mkpụrụ ụbọchị anọ.
ibo_001225|Agbụrụ nke nke atọ kachasi agbụrụ ndị ọzọ ike.
ibo_001226|O were ya afọ isii iji gụpụta elementri nke isii.
ibo_001227|Asaba bụ obodo kacha nta na Naịjirịa site na ọnụ ọgụgụ mmadụ.
ibo_001228|Otu n'ime anọ mụbara iri abụọ bụ ise.
ibo_001229|Iri na otu mụbaa otu narị na iri bụ otu puku, narị abụọ na iri.
ibo_001230|Nnem bụ nọọsụ nke iri n'ime ndị nọọsụ achọrọ.
ibo_001231|Atọ n'ime anọ mụbara otu narị na iri abụọ bụ iri itoolu.
ibo_001232|Mmadụ iri ga-abịa ma ọnwa a dị abalị iri.
ibo_001233|Abụọ n'ime ise mụbaa iri asatọ bụ iri atọ na abụọ.
ibo_001234|Lagos bụ obodo kacha ukwuu na Naịjirịa, mana ọ bụghị isi obodo ya.
ibo_001235|Onitsha bụ obodo dị n'akụkụ ọwụwa anyanwụ nke osimiri Niger, na steeti Anambra, Naijiria
ibo_001236|ames chọrọ ịga Chad, na-eche banyere njem ije  n'ime ọzara ya.
ibo_001237|Osimiri Naịja bụ osimiri nke abụọ kacha dị ogo na osimiri ndị enwere na Afrịka.
ibo_001238|Achọrọ ụmụaka ise mana onye nke ise abaghị n'oge.
ibo_001239|Otu n'ime abụọ agbakọnye ya otu n'ime isii bụ abụọ n'ime atọ.
ibo_001240|Gịnị bụ isi obodo Cameroon? Isi obodo Cameroon bụ Yaoundé.
ibo_001241|Obíeze kacha ima mma na Naijiria dị na obodo Okene no na kogi steeti
ibo_001242|Gịnị bụ asụsụ obodo Cameroon? Asụsụ gọọmentị Cameroon bụ French na Bekee.
ibo_001243|Otu n'ime ise mụbaa iri abụọ, agbakọnyere iri atọ, gbakọnye iri anọ pụtara iri na asatọ.
ibo_001244|Mgbada bụ anụ nke mbụ kacha eme ọsọ ọsọ n'ime ụmụ anụmanụ.
ibo_001245|Enugu, isi obodo Enugu steeti bụ mpaghara Isi etiti na-egwupụta coal na Naịjirịa
ibo_001246|Ahmed na-arọ nrọ nke isi na Naijiria gaa Niger, na-enyocha mbara ala ọhụrụ n'ụzọ.J
ibo_001247|Maidugri bụ isi obodo Brono steeti ma bụrụ ebe azụmaahịa maka ebe ugwu ọwụwa anyanwụ Naijiria
ibo_001248|Akwa Ibom bụ steeti kacha na-emepụta mmanụ na gaasi na NaịjirịaNaịjịrịa.
ibo_001249|Amarachi Okafor, onye nwere onyinye ị gu egwu, mere egwu meturu obi nde nde mmadu.
ibo_001250|Curry na-esi ísì ụtọ, nke sitere na India, gbakwunyere omimi na ose na stew ọkụkọ.
ibo_001251|Emma nwere obi ụtọ ịhụ anụ ọhịa Cameroon, dị ka enyí na ọdụm, na njem ya na-abịa.
ibo_001252|Goodluck Jonathan onye bụbụ onyeisi ala na Naịjịrịa lekwasiri anya nankwalite agụmụakwụkwọ n'oge ọchịchị ya.
ibo_001253|Nwoke ahụ nwere otu ụgbọ ọgba tum tum. Diọkpara ya wee zụta otu ụgbọala bunye ya.
ibo_001301|Sallah bụ emume ndị alakụba na-eme.
ibo_001302|Aha enyi m nwoke bụ Fraịde.
ibo_001303|Biko, bịa n'ụlọ akwụkwọ m ụbọchị Mọnde.
ibo_001304|A mụrụ Chioma n'ọnwa nke abụọ (Febrụwarị)
ibo_001305|Anyị ga-aga agbamakwụkwọ Ada na Eze ụbọchị Satọdee.
ibo_001306|Eze agaghi akwụkwọ n'ụbọchị Wenezde.
ibo_001307|Gịnị mere i ji zụta uwe ojii?
ibo_001308|Nwoke na-agba bọọlụ
ibo_001309|Anyị gara ụka ụbọchị ụka /Sọnde
ibo_001310|Olusegun Obasanjo bụ onyeisi ala mbụ chịrị ọchịchị onye kwuo uche ya.
ibo_001311|A na-eme emume ndị Ụkọchukwu na katidral.
ibo_001312|Ite di ọcha nwere akara ojii.
ibo_001313|Udi uyi n'elu cylinder oroma
ibo_001314|Onye nwe ụgbọ ala na-acha anụnụ anụnụ?
ibo_001315|Otu nwanyị na-agụ akwụkwọ nọ ọdụ n'oche
ibo_001316|Akwa mmirin'elu osimiri
ibo_001317|Ihe owuwu nke ọtụtụ agba .
ibo_001318|Ọdọ mmiri obere ugwu gbara  gburugburu
ibo_001319|Ọ nwere ebe ị ga-aga ụbọchị Tọzdee
ibo_001320|tomato abụọ n'akụkụ otu karọt
ibo_001321|bọọlụ nó n'ime ụgbụ bọọlụ
ibo_001322|Triangle ndụ  ndụ n'elu okirikiri na-acha anụnụ anụnụ
ibo_001323|ehi ojii nwere ntụpọ ọcha
ibo_001324|Ọnwa juru eju na-egosipụta n'osimiri n'abalị    Ọnwa juru eju na-egosipụta n'osimiri n'abalị
ibo_001325|Otu ite ifuru n'ihu mgbufu
ibo_001326|Igbe atọ edo edo di n'ime okirikiri odo odo
ibo_001327|Osisi unere n'azụ banana chara acha
ibo_001328|ihe ịbịa ọrụ ojii nke Igwe otu ebe
ibo_001329|oroma abụọ na ọkara chara acha.
ibo_001330|Ifuru na-acha anụnụ anụnụ nwere ahịhịa ndụ ndụ
ibo_001331|Agwo na-acha aja aja gbachiri alaka aja aja
ibo_001332|okirikiri agba aja  n'etiti traịangụlụ abụọ di ojii
ibo_001333|Igbe oroma atọ n'akụkụ okirikiri abụọ na- acha anụnụ anụnụ
ibo_001334|Triangle isi awọ nọ n'azụ okirikiri odo odo
ibo_001335|Ugwu  n'eguzo n'ime ohia akwụkwọ  ndu akwụkwọ ndu
ibo_001336|Kpakpando nọ n''ime okirikiri na-acha ntụ ntụ
ibo_001337|Otu na ọkara  green aplu
ibo_001338|ịnyịnya pink na-agba agba n'azụ okirikiri edo edo
ibo_001339|ìgwè aṅụ nke na-emetọ ifuru uhie na akwụkwọ ndụ akwụkwọ ndụ
ibo_001340|bọọlụ ndụ ndụ anọ n'ime igbe na-acha anụnụ anụnụ
ibo_001341|Ihe onyonyo ojii nke nwoke na nwanyị jidere nwatakiri  aka
ibo_001342|Okirikiri pink n'azụ akụkụ na-acha odo chere ihu aka ekpe
ibo_001343|Okpokoro akwụkwọ ọbá akwụkwọ isii nke afọpụtara maka ịgụ
ibo_001345|Rektangulu na-acha odo odo nke nwere pentagon isi awọ atọ nọ n'ime ya
ibo_001391|Kedu ihe ị na-eme Satọde a?
ibo_001392|Tọzdee bụ ụbọchị dị mma iji nweta ọrụ
ibo_001393|Akwa akwa dị n'elu osimiri.
ibo_001394|Kpakpando ọcha nọ n'ime okirikiri na-acha anụnụ anụnụ.
ibo_001395|Otu trayangụlụ na-acha ndụ ndụ nọkwasị n'elu okirikiri anụnụ anụnụ.
ibo_001396|I gatula n'ụsọ osimiri n'ụbọchị Sọnde?
ibo_001397|I gatula mbu n'ikpere mmiri na Julaị?
ibo_001398|Biko denye kalenda gị maka nzukọ n'Mọnde.
ibo_001399|Mkpụrụobi na-acha ntụ ntụ nọ n'elu konu na-achara nchara.
ibo_001474|Ụdị gbara akụkụ ise
ibo_001475|Nwoke nọ n'oche na-agụ akwụkwọ akụkọ.
ibo_001476|Wenezde bụ etiti izu.
ibo_001477|I gatula n'ụsọ osimiri n'ụbọchị Sọnde?
ibo_001478|Ibe anọ nwere oghere okirikiri anọ n'akụkụ ya.
ibo_001479|Okirikiri e ji akara na-ezi ụzọ kagbuo
ibo_001480|Ụdị gbara okirikiri ma nwee ụdị kpakpando n'etiti ya
ibo_001481|Tomato na karọt na-acha ọbara ọbara
ibo_001482|N'elu ọdọ mmiri dị jụụ, ọnwa na-ebili.
ibo_001483|Ihe a bụ foto e sere ese na-egosi onye na-agba bọọlụ
ibo_001484|Tọzdee bụ ụbọchị dị mma iji nweta ọrụ
ibo_001485|Ifuru anwụ. Okpuru ya nwere akwụkwọ na-acha ndụ ndụ
ibo_001486|Bọọlụ nọ n'ime neetị mgbe ndị na-agba bọọlụ nyere goolu.
ibo_001487|Ibe atọ abụọ na-eji oji. N'etiti ha, ị ga-ahụ okirikiri
ibo_001488|I gatula mbu n'ikpere mmiri na Julaị?
ibo_001489|"Biko denye kalenda gị maka nzukọ na Mọnde."""
ibo_001490|Ibe okirikiri na-acha anụnụ anụnụ dị n'etiti ibe nwere akụkụ anọ na-acha edo edo
ibo_001491|biko weta mkpisi akwụkwọ  ndu na klasị echi
ibo_001492|biko yie ihe na-acha uhie uhie maka oriri na Sọnde
ibo_001493|Ehi ụfọdụ akụkụ ahụ ha dị ọchan' ebe akụkụ ndị ọzọ dị oji.
ibo_001494|Biko denye kalenda gị maka nzukọ n'abalị iri na ise nke Maachị.
ibo_001495|Ibe anọ a tụkwasịrị n'elu ibe ha. N'akụkụ ha, ị ga-ahụ okirikiri abụọ na-acha anụnụ anụnụ
ibo_001498|Ibe atọ na-acha ndụ ndụ nọ n'elu okirikiri na-acha anụnụ anụnụ.  Ogige na-acha ndu ndu. Akwa mmiri eweliri elu gafee osimiri
ibo_001499|akwụkwọ nchụanwụ nke amara maka isi isi ụtọ wee gbubaa ya n'ofe na-esi isi ụtọ
