yor_000000|Tòmátì àti Ṣòmbọ̀
yor_000851|Àròpọ̀ oókàn àti méèjì jásí mẹ́ta
yor_000852|Ìdamẹ́ta nínú ìdamẹ́rin tí ogọ́fà ní àádọ́rùn-ún
yor_000853|Àwọn ẹranko tó ń sáré
yor_000854|Ìrísí onígun mẹ́ta lórí ìrísí roboto
yor_000855|Ìsọdípúpọ̀ ẹ́rin àti áàrun jásí ogún
yor_000856|Kínkín ogọ́ta sí ọ̀nà méjì jásí ogbọ̀n
yor_000857|Ọgìnìtìn ni gbogbo òní yóò fi mú, èyí yóò mú òtútù púpọ̀
yor_000858|Ọkùnrin jókòó lórí aga ìjọ tó ń kàwé
yor_000859|Ìrísí ọfà lórí ìrísí roboto
yor_000860|Ìjì alágbára yóò fẹ́ l'órú títí ilẹ̀ yóò fi mọ́
yor_000861|Ìsọdípúpọ̀ èjìnlá àti ẹ́rin jásí méjìdínníàádọ́ta
yor_000862|Ìrísí roboto láàárín ìrísí onígun mẹ́ta
yor_000863|Ìrísí onígun márùn-ún mẹ́ta lórí onígun àìdọ́gba mẹ́rin
yor_000864|Ìdamẹ́rin tí ogún ní máàrun
yor_000865|Ìrísí roboto mẹ́rin lórí ìrísí bíi ti ṣúgà
yor_000866|Ìsọdípúpọ̀ èje àti ẹjọ jásí mẹ́rìndínlógọ́ta
yor_000867|Àròpọ̀ ìdájì àti ìdaméjì nínú mẹ́ta ní ìdaméjì nínú mẹ́ta
yor_000868|Ìrísí mẹ́ta onígun dídọ́gba mẹ́rin l'ẹ́gbẹ̀ẹ́ ìrísí roboto méjì
yor_000869|Ìdaméjì nínú ìdamárùn-ún tí àádọ́rin ní méjìlélógún
yor_000871|Ìdamẹ́ta nínú ìdamẹ́jọ tí ẹjọ ní ẹ́ẹta
yor_000872|Ogbọ̀n ọjọ́ ló máa wà nínú àwọn oṣù kan
yor_000892|Ọdún kẹfà nìyí tí mo ti ń ta ọjà orìṣìí mẹ́fà.
yor_000974|Ayé jẹ́ ọ̀kan nínú ayé tí ó wà.
yor_001057|Mẹ́fà pẹ̀lú méje dọ́gba mẹ́tala.
yor_001058|Tóbi ni olórí ẹbí.
yor_001059|Ọ̀kan àti ìdajì ọgọ́rùn-ún jẹ́ àádọ́ta.
yor_001060|Ìdamẹ́ta ọgọ́ta jẹ́ ogún.
yor_001061|Mẹ́wàá tí a fi mẹ́wàá pọ̀ sí i jẹ́ ọgọ́rùn-ún.
yor_001062|Ìdámẹ́rin ọgọ́rùn-ún mẹ́ẹ́dọ́gbọ̀n.
yor_001063|Ìdamẹ́rin ogún dọ́gba márùn-ún.
yor_001064|Ayé jẹ́ ọ̀kan nínú ayé tí ó wà.
yor_001065|Jòlọ́fù Gánà ni ó dùn jùlọ.
yor_001066|Ìdamẹ́rin ogọ́fà ó dọ́gba àádọ́rùn-ún.
yor_001067|Ìgbà mẹ́rin márùn-ún dọ́gba ogun
yor_001136|Màálù jẹ koríko lábẹ́ igi.
yor_001137|Ǹjẹ́ Ọ̀gbẹ́ni Ṣọlá ra bàtà dúdú?
yor_001138|Wọ́n ti gba bọ́ọ̀lù wọ inú àwọ̀n.
yor_001139|Ejò rà mọ́ra igi.
yor_001140|Ẹṣin sáré.
yor_001141|Jọ́gì,
yor_001142|Ọmọ náà ń gba bọ́ọ̀lù.
yor_001143|Ọ̀kan pẹ̀lú méjì dọ́gba mẹ́ta
yor_001144|Afárá lórí odò
yor_001145|Àpẹẹrẹ ìyíká aláwọ̀ bulúù wà láàárín àpẹẹrẹ onígun mẹ́rin aláwọ̀ yélò.
yor_001146|Kẹ́kẹ́.
yor_001147|Ìràwọ̀ funfun wà nínú àpẹẹrẹ ìyíká.
yor_001148|Àwọn àpẹẹrẹ onígun márùn-ún wà pápọ̀.
yor_001149|Ìyá, ọmọ, àti bàbá.
yor_001150|Apẹẹrẹ oríṣìíiríṣìí méje.
yor_001151|Pápá oko tútù,, .
yor_001152|Tólá kọ ìwé mẹ́fà sí orí tábílí.
yor_001153|Òdòdó aláwọ̀ ewé, yélò àti pópù.
yor_001154|Àwọn oyin mẹ́ta rí òdòdó mẹ́ta.
yor_001155|Ìkòkò òdòdó wà lójú fèrèsé.
yor_001156|Arákùnrin ń ka ìwé ìròyìn
yor_001157|Màálù aláwọ̀ dúdú àti funfun.
yor_001158|Pírámídì wà lórí pápá ọkọ̀ tútù.
yor_001159|Àpù ẹyọkan àti àbọ̀.
yor_001162|Adágún omi wà láàárín òkè.
yor_001164|Ajá ń gba bóòlù.
yor_001216|1. Bọ́ọ̀lù wọnú àwọ̀n. 2. Ó di góòòòòòlù!
yor_001217|Kọ́ọ̀pù mẹ́rin tó tẹ̀lé ra wọn lórí tábìlì.
yor_001218|Òjò yóò rọ̀ ní alẹ́ ọ̀la.
yor_001219|Ọ̀nà tòóró láàárín igbó ṣúúrú.
yor_001220|1. Àpẹẹrẹ onígùn mẹ́ta wà lẹ́yìn àpẹẹrẹ àyíká.
yor_001221|Ẹ́ẹ̀fa pẹ̀lú èéje jẹ́ mọtlá.
yor_001222|1. Ojúmọ́ ti mọ́. 2. Oòrùn ti fẹ́rẹ̀ẹ́ ràn.
yor_001223|Ẹṣin ń sáré nínú oòrùn.
yor_001224|Agolo tí àpẹẹrẹ ìfẹ́ wà l'órí rẹ̀.
yor_001225|Ní Ọjọ́ 'Rú, òjò yíò rọ̀. Òjò yóò rọ̀ ní Ọjọ́ 'Bọ̀ àti Ọjọ́ Ẹtì. Èyí kì í ṣe agogo fún àwọn ọmọdé láti ṣeré nìta nítorí òtútù.
yor_001226|1. Ọgẹ̀dẹ̀ wà lábẹ́ igi ọgẹ̀dẹ̀. 2. Ọgẹ̀dẹ̀ jábọ́ s'ábẹ́ igi ọgẹ̀dẹ̀.
yor_001227|Bísí gbọ́dọ̀ ka ìwé mẹ́fà lónìí.
yor_001228|1. Mọ́ọ̀gì tó rẹwà. 2. Kẹ́tù tí a fín po tíì.
yor_001229|Méjì gé ọgọ́ta jẹ́ ọgbọ̀n.
yor_001230|1. Bulọ́ọ̀kù ìṣeré ọmọdé.
yor_001231|Àwọn oyin ń jẹ fúláwà tó dùn.
yor_001292|Ta ló ní bàtà dúdú yìí?
yor_001293|Ìsọkúsọ kò yẹ ọmọlúàbí
yor_001294|Òjò máa ń pọ̀ nínú oṣù keje ọdún
yor_001295|Ìwà pẹ̀lẹ́ l'ó yẹ ká máa ṣe
yor_001300|Àwòrán igi tí ejò aláwọ kàláńkìnní lọmọ ní ara
yor_001301|Oókan pọ mọ eéjì jé ẹẹta
yor_001302|Ẹẹfà papọ mọ eéje jẹ ẹẹtàlá
yor_001305|Àwòrán òrùlé aláwọ aró pẹlú àwọn koríko aláwọ ewé lórísìrísi
yor_001306|Ẹẹrin pẹlú àmì ìsọdipúpọ àárùn jẹ ogún
yor_001370|Ẹbí kan.
yor_001371|Ẹgbẹ́ àwọn nọ́ọ̀sì
yor_001372|Ìlú Ìbàdàn ni ó tóbi jù ní apá ìwọ̀-oòrùn Nàìjíríà.
yor_001373|Mo fẹ́ràn ìlú Líbíà púpọ̀.
yor_001374|Òkè méje ló so ìlú Ìbàdàn pọ̀.
yor_001375|Ìkẹjà jẹ́ olú ìlú Èkó.
yor_001376|Àwọn òkè gíga.
yor_001377|Ìran kan.
yor_001378|Odò tó gùn
yor_001379|Àwọn oṣù nínú ọdún.
yor_001381|Àwọn èrò Gánà ń wá sí ìlú Abìján láti tajà.
yor_001384|Àllí ń ṣiṣẹ́ lórí ẹ̀rọ amúnáwá olóòrùn.
yor_001449|Mẹ́fà pẹ̀lú méje dọ́gba mẹ́tala.
yor_001450|Tóbi ni olórí ẹbí.
yor_001451|Ọ̀kan àti ìdajì ọgọ́rùn-ún jẹ́ àádọ́ta.
yor_001452|Ìdamẹ́ta ọgọ́ta jẹ́ ogún.
yor_001453|Mẹ́wàá tí a fi mẹ́wàá pọ̀ sí i jẹ́ ọgọ́rùn-ún.
yor_001454|Ìdámẹ́rin ọgọ́rùn-ún mẹ́ẹ́dọ́gbọ̀n.
yor_001455|Ìdamẹ́rin ogún dọ́gba márùn-ún.
yor_001456|Ayé jẹ́ ọ̀kan nínú ayé tí ó wà.
yor_001457|Jòlọ́fù Gánà ni ó dùn jùlọ.
yor_001458|Ìdamẹ́rin ogọ́fà ó dọ́gba àádọ́rùn-ún.
yor_001459|Ìgbà mẹ́rin márùn-ún dọ́gba ogun
yor_001528|Màálù jẹ koríko lábẹ́ igi.
yor_001529|Ǹjẹ́ Ọ̀gbẹ́ni Ṣọlá ra bàtà dúdú?
yor_001530|Wọ́n ti gba bọ́ọ̀lù wọ inú àwọ̀n.
yor_001531|Ejò rà mọ́ra igi.
yor_001532|Ẹṣin sáré.
yor_001533|Jọ́gì,
yor_001534|Ọmọ náà ń gba bọ́ọ̀lù.
yor_001535|Ọ̀kan pẹ̀lú méjì dọ́gba mẹ́ta
yor_001536|Afárá lórí odò
yor_001537|Àpẹẹrẹ ìyíká aláwọ̀ bulúù wà láàárín àpẹẹrẹ onígun mẹ́rin aláwọ̀ yélò.
yor_001538|Kẹ́kẹ́.
yor_001539|Ìràwọ̀ funfun wà nínú àpẹẹrẹ ìyíká.
yor_001540|Àwọn àpẹẹrẹ onígun márùn-ún wà pápọ̀.
yor_001541|Ìyá, ọmọ, àti bàbá.
yor_001542|Apẹẹrẹ oríṣìíiríṣìí méje.
yor_001543|Pápá oko tútù,, .
yor_001544|Tólá kọ ìwé mẹ́fà sí orí tábílí.
yor_001545|Òdòdó aláwọ̀ ewé, yélò àti pópù.
yor_001546|Àwọn oyin mẹ́ta rí òdòdó mẹ́ta.
yor_001547|Ìkòkò òdòdó wà lójú fèrèsé.
yor_001548|Arákùnrin ń ka ìwé ìròyìn
yor_001549|Màálù aláwọ̀ dúdú àti funfun.
yor_001550|Pírámídì wà lórí pápá ọkọ̀ tútù.
yor_001551|Àpù ẹyọkan àti àbọ̀.
yor_001554|Adágún omi wà láàárín òkè.
yor_001556|Ajá ń gba bóòlù.
yor_001608|1. Bọ́ọ̀lù wọnú àwọ̀n. 2. Ó di góòòòòòlù!
yor_001609|Kọ́ọ̀pù mẹ́rin tó tẹ̀lé ra wọn lórí tábìlì.
yor_001610|Òjò yóò rọ̀ ní alẹ́ ọ̀la.
yor_001611|Ọ̀nà tòóró láàárín igbó ṣúúrú.
yor_001612|1. Àpẹẹrẹ onígùn mẹ́ta wà lẹ́yìn àpẹẹrẹ àyíká.
yor_001613|Ẹ́ẹ̀fa pẹ̀lú èéje jẹ́ mọtlá.
yor_001614|1. Ojúmọ́ ti mọ́. 2. Oòrùn ti fẹ́rẹ̀ẹ́ ràn.
yor_001615|Ẹṣin ń sáré nínú oòrùn.
yor_001616|Agolo tí àpẹẹrẹ ìfẹ́ wà l'órí rẹ̀.
yor_001617|Ní Ọjọ́ 'Rú, òjò yíò rọ̀. Òjò yóò rọ̀ ní Ọjọ́ 'Bọ̀ àti Ọjọ́ Ẹtì. Èyí kì í ṣe agogo fún àwọn ọmọdé láti ṣeré nìta nítorí òtútù.
yor_001618|1. Ọgẹ̀dẹ̀ wà lábẹ́ igi ọgẹ̀dẹ̀. 2. Ọgẹ̀dẹ̀ jábọ́ s'ábẹ́ igi ọgẹ̀dẹ̀.
yor_001619|Bísí gbọ́dọ̀ ka ìwé mẹ́fà lónìí.
yor_001620|1. Mọ́ọ̀gì tó rẹwà. 2. Kẹ́tù tí a fín po tíì.
yor_001621|Méjì gé ọgọ́ta jẹ́ ọgbọ̀n.
yor_001622|1. Bulọ́ọ̀kù ìṣeré ọmọdé.
yor_001623|Àwọn oyin ń jẹ fúláwà tó dùn.
yor_001684|Ta ló ní bàtà dúdú yìí?
yor_001685|Ìsọkúsọ kò yẹ ọmọlúàbí
yor_001686|Òjò máa ń pọ̀ nínú oṣù keje ọdún
yor_001687|Ìwà pẹ̀lẹ́ l'ó yẹ ká máa ṣe
yor_001692|Àwòrán igi tí ejò aláwọ kàláńkìnní lọmọ ní ara
yor_001693|Oókan pọ mọ eéjì jé ẹẹta
yor_001694|Ẹẹfà papọ mọ eéje jẹ ẹẹtàlá
yor_001697|Àwòrán òrùlé aláwọ aró pẹlú àwọn koríko aláwọ ewé lórísìrísi
yor_001698|Ẹẹrin pẹlú àmì ìsọdipúpọ àárùn jẹ ogún
yor_001762|Ẹbí kan.
yor_001763|Ẹgbẹ́ àwọn nọ́ọ̀sì
yor_001764|Ìlú Ìbàdàn ni ó tóbi jù ní apá ìwọ̀-oòrùn Nàìjíríà.
yor_001765|Mo fẹ́ràn ìlú Líbíà púpọ̀.
yor_001766|Òkè méje ló so ìlú Ìbàdàn pọ̀.
yor_001767|Ìkẹjà jẹ́ olú ìlú Èkó.
yor_001768|Àwọn òkè gíga.
yor_001769|Ìran kan.
yor_001770|Odò tó gùn
yor_001771|Àwọn oṣù nínú ọdún.
yor_001773|Àwọn èrò Gánà ń wá sí ìlú Abìján láti tajà.
yor_001776|Àllí ń ṣiṣẹ́ lórí ẹ̀rọ amúnáwá olóòrùn.
yor_001841|mefa pelu meje dọgba mẹtala
yor_001842|Tobi ni olori ebi
yor_001843|ọokan ati idaji ọgọrun jẹ ãdọta
yor_001844|idamẹta ọgọta jẹ ogún
yor_001845|mẹwàá tí a fi mẹwàá pọ sí i jẹ ọgọrùn-ún
yor_001846|ìdámẹrin ọgọrùn-ún mẹẹẹdọgbọn
yor_001847|idamẹrin ogun dọgba marun
yor_001848|Aye je okan ninu aye ti o wa
yor_001849|Jolofu Ghana ni o dun julọ
yor_001850|idamẹrin ogofa o dọgba aadọrun
yor_001851|igba merin marun dogba ogun
yor_001920|Maalu je koriko labe igi
yor_001921|Nje ogbeni shola ra bata dudu?
yor_001922|Won ti gba boolu wo inu awon
yor_001923|Ejo ra mora igi
yor_001924|Esin sare
yor_001925|Jogi
yor_001926|Omo na n gba boolu
yor_001927|ọkan pelu meji dogba mẹta
yor_001928|Afara Lori odo
yor_001929|Apẹrẹ iyika alawo buluu wa laarin apẹrẹ onígun merun alawo yelo
yor_001930|kẹkẹ
yor_001931|Irawo funfun wa ninu apẹrẹ iyika
yor_001932|Awọn apẹrẹ onígun Marun wa papo
yor_001933|Iya, omo ati baba
yor_001934|Apére orisirisi meje
yor_001935|Papa oko tutu
yor_001936|Tola ko iwe mefa si Ori tabili
yor_001937|Ododo alawo ewe, yelo ati popu
yor_001938|Awon oyin meta ri ododo meta
yor_001939|Ikoko ododo wa loju ferese
yor_001940|Arakunrin nka iwe iroyin
yor_001941|Maalu alawo dudu ati funfun
yor_001942|Piramidi WA Lori Papa oko tutu
yor_001943|Apu eyokan ati abo
yor_001946|Adagun omi wa laarin oke
yor_001948|Aja n gba bóòlú
yor_002000|1. Bọọlu wọnú àwọn 2. O di gooooooolu!
yor_002001|Bisi gbọdọ ka iwe mẹfa loni.
yor_002002|Afẹfẹ yóò fẹ ni irọlẹ oni
yor_002003|Ọna tooro laarin igbo suuru.
yor_002004|1. Apẹrẹ onigun méta wà lẹyìn apẹrẹ ayika.
yor_002005|Eẹrin nilọpo márún jẹ ogún.
yor_002006|1. Ojumọ ti mọ. 2. Oòrùn ti fẹẹ rán.
yor_002007|Àwọn oyin njẹ fulawa to dùn.
yor_002008|Agolo ti àpẹẹrẹ ìfẹ wa l'ori rẹ
yor_002009|kurukuru yo wa ni dede ago meji owuro ni Ọjọ ‘Rú.
yor_002010|1. Ọgẹdẹ wa labẹ igi ọgẹdẹ. 2. Ọgẹdẹ jabọ s'abẹ igi ọgẹdẹ.
yor_002011|Ẹṣin nsare nínú oòrùn.
yor_002012|1. Mọọgi to rẹwa. 2. Kẹtu ti a fin po tíí
yor_002013|Mẹjọ lọnà mẹsan jé eeji le ni aadọrin
yor_002014|1. Bulọọku iṣere ọmọde
yor_002015|Ajọkẹ fẹẹ jẹ eso apul ẹyọkan àti aabọ.
yor_002076|Ta lo ni bata dudu yii
yor_002077|isọkusọ o yẹ ọmọluabi
yor_002078|Ojo maa n pọ ninu oṣu keje ọdun
yor_002079|iwa pẹlẹ lo yẹ ka maa ṣe
yor_002084|Àwòrán igi tí ejò aláwọ kàláńkìnní lọmọ ní ara
yor_002085|Oókan pọ mọ eéjì jé ẹẹta
yor_002086|Ẹẹfà papọ mọ eéje jẹ ẹẹtàlá
yor_002089|Àwòrán òrùlé aláwọ aró pẹlú àwọn koríko aláwọ ewé lórísìrísi
yor_002090|Ẹẹrin pẹlú àmì ìsọdipúpọ àárùn jẹ ogún
yor_002154|Ẹbi kán
yor_002155|Egbe àwọn nọọsi
yor_002156|Il煤 Ibadan ni o tobi ju ni apa iwoorun Naijiria.
yor_002157|Mo fẹràn ìlú Libia púpọ.
yor_002158|Oke meje lo so ilu Ìbàdàn po
yor_002159|Ikeja jẹ olú ìlú Èkó.
yor_002160|Awọn òke gíga
yor_002161|Ìran kán
yor_002162|Odò to gun
yor_002163|Awọn oṣu nínú ọdun
yor_002165|Awọn ero Gana n wa sí ìlú Abijan làti taja.
yor_002168|Alli n ṣiṣe lóri ẹrọ amunawa oloorun.
